Supplier,Supplier Code,Section,Season,Supp.Art.Code,Article Code,Article Name,Color Name,Color Code,Treatment Name,Treatment Code,Composition,Weave,Stretch,Construction,Weight GSM,Width CM,Dye Type,Care Label,Barcode/QR,Base Price EUR,Color Hex,Image URL,,Image
SECEN TEKSTIL,DOS-0003,CHARME AW,AW 26-27,SCN0227 V2 BEIGE,510-1880,PAPION,AMANDE,CM300,MAR-LEN,TX84,52% CO 44% PA 4% EA,DOUBLE,WEFT,,240,130,PD,,,5.95,,,,
SECEN TEKSTIL,DOS-0003,MUSTANG SS,SS25,SCN00004,510-1018,CARLO,GAMAT,OM800,DELOOR,3R201,50% CO 50% PES,PLAIN,RIGID,,135,150,PD,,,4.4,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,5802 / ASTREA,510-1029,CORINTHA,CAPRI,SM500,MAR-LEN,TX84,15% VIS 28% CO 57% RAY,TWILL,RIGID,,180,154,PD,,,4.9,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,5906,510-1041,RAPHAEL,L.OLIVE,HM122,MAR-LEN,TX84,64% RAY 32% CO 4% EA,TWILL,WEFT,,180,142,PD,,,6.6,#8EC73A,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,5906,510-1041,RAPHAEL,CAPRI,SM500,MAR-LEN,TX84,64% RAY 32% CO 4% EA,TWILL,WEFT,,180,142,PD,,,6.6,,,,
SECEN TEKSTIL,DOS-0003,OVERDOSE,SS25,7246 / SINGAPORE,510-1045,SABRINA,RUST,OM680,MAR-LEN,TX84,79% RAY 19%VIS 2% SILK,TWILL,RIGID,,195,152,PD,,,7.9,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,3838 / SILKY TURN V44,510-1047,MADLEINE,ORCHID,LM380,VTRANS,X800,46% CO 54% RAYON,PLAIN,RIGID,,60,147,PD,,,3.9,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,3838 / SILKY TURN,510-1047,MADLEINE,CAPRI,SM500,VTRANS,X800,46% CO 54% RAYON,PLAIN,RIGID,,60,147,PD,,,3.9,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,3838 / SILKY TURN,510-1047,MADLEINE,FANGO,DM680,VTRANS,X800,46% CO 54% RAYON,PLAIN,RIGID,,60,147,PD,,,3.9,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,3838 / SILKY TURN V64,510-1047,MADLEINE,CAFE,CD782,VTRANS,X800,46% CO 54% RAYON,PLAIN,RIGID,,60,147,PD,,,3.9,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,3838 / SILKY TURN v59,510-1047,MADLEINE,PIETRA,DL620,VTRANS,X800,46% CO 54% RAYON,PLAIN,RIGID,,60,147,PD,,,3.9,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,510-1050,510-1050,CALAI,CITRUS,SD255,MAR-LEN,TX84,48% C0 48% RAY 4% EA,FANCY,WEFT,,230,140,PD,,,,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,510-1050,510-1050,CALAI,SMOKEY,DD684,MAR-LEN,TX84,48% C0 48% RAY 4% EA,FANCY,WEFT,,230,140,PD,,,,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,5907 / PIANO,510-1055,RITA,IVORY,AM101,MAR-LEN,TX84,46% CO 51% RAY 3% EA,TWILL,WEFT,,210,150,PD,,,6.9,,,,
SECEN TEKSTIL,DOS-0003,OVERDOSE,SS25,7583 / ROYAL,510-1066,PEARL,,LM618,MAR-LEN,TX84,100% PES,TWILL,WEFT,,180,152,PD,,,6.1,,,,
SECEN TEKSTIL,DOS-0003,OVERDOSE,SS25,7583 / ROYAL,510-1066,PEARL,BLACK,XM001,MAR-LEN,TX84,100% PES,TWILL,WEFT,,180,152,PD,,,6.1,,,,
SECEN TEKSTIL,DOS-0003,CHARME AW,AW 26-27,8426 v1,510-1080,RANA,CHARME,LM450,MAR-LEN,TX84,66% VIS 32% PES 2% EA,FANCY,WEFT,,275,125,PD,,,6.6,,,,
SECEN TEKSTIL,DOS-0003,CHARME SS,SS25,8163 / V1,510-1086,LAVOS,IVORY,AM101,MAR-LEN,TX84,51% RAY 39% VIS 10% LI,TWILL,RIGID,,240,149,PD,,,6.65,,,,
SECEN TEKSTIL,DOS-0003,OVERDOSE,SS25,8000 / MINOS S,510-1097,REBECA,,FL781,MAR-LEN,TX84,49% RAYON 51% MODAL,TWILL,RIGID,,130,150,PD,,,5,,,,
SECEN TEKSTIL,DOS-0003,OVERDOSE,AW 26-27,8113 NEW YORK V6,510-1220,VERSAILLES,SKY.STAR,NM280,MAR-LEN,TX84,54% PES 22% VIS 22% RAY 2% EA,SATEEN,WEFT,,225,140,PD,,,,,,,
SECEN TEKSTIL,DOS-0003,OVERDOSE,AW 26-27,8282 NEW YORK V3,510-1225,VANDA,SKY.STAR,NM280,MAR-LEN,TX84,47% VIS 53% PES,SATEEN,WEFT,,213,160,PD,,,,,,,
SECEN TEKSTIL,DOS-0003,OVERDOSE,SS25,6780 / FLOSSY,510-1179,TULIA,,EL298,MAR-LEN,TX84,36% TEN 64% RAYON,TWILL,RIGID,,150,150,PD,,,6,,,,
SECEN TEKSTIL,DOS-0003,OVERDOSE,SS25,7630-CALYPSO V3,510-1185,ROSALIE,LAILAC,VM300,MAR-LEN,TX84,96% RAY 4% EA ,PLAIN,WEFT,,165,135,PD,,,7.95,#B4ABBA,,,
SECEN TEKSTIL,DOS-0003,MUSTANG SS,SS25,7855-HELSINKI,510-1214,PARIS,COBALT,MM500,,,100% PA,PLAIN,RIGID,,82,142,PD,,,3.8,#047FC2,—,,
SECEN TEKSTIL,DOS-0003,MUSTANG SS,SS25,7855-HELSINKI,510-1214,PARIS,,GL250,,,100% PA,PLAIN,RIGID,,82,142,PD,,,3.8,,,,
